,Sim_Type,Nsubs,Iteration,Station,s1,s5,s10,s15,s20
0,FixBase,20f2s,1,s1,0.0025571428571428572,0.004614285714285715,0.006742857142857142,0.009128571428571434,0.009207142857142858
1,FixBase,20f2s,2,s1,0.0031000000000000003,0.005085714285714286,0.005857142857142859,0.008642857142857143,0.00925
2,FixBase,20f2s,3,s1,0.006307142857142857,0.01295714285714286,0.020321428571428574,0.023600000000000003,0.02310714285714288
3,FixBase,20f2s,4,s1,0.0017357142857142855,0.002300000000000001,0.002564285714285715,0.004535714285714285,0.005271428571428573
4,FixBase,20f2s,5,s1,0.0041428571428571434,0.007614285714285714,0.010914285714285713,0.01301428571428572,0.012921428571428575
5,FixBase,20f2s,1,s2,0.0013857142857142857,0.0025428571428571427,0.002971428571428571,0.0041571428571428575,0.004314285714285715
6,FixBase,20f2s,2,s2,0.0013,0.0026000000000000007,0.003721428571428573,0.0043,0.004328571428571432
7,FixBase,20f2s,3,s2,0.0010428571428571427,0.001971428571428572,0.0031357142857142864,0.003950000000000002,0.00412857142857143
8,FixBase,20f2s,4,s2,0.0007,0.0010428571428571427,0.0014857142857142862,0.002121428571428571,0.0023285714285714277
9,FixBase,20f2s,5,s2,0.0018071428571428572,0.0027142857142857147,0.0029142857142857143,0.004928571428571426,0.005171428571428572
10,FixBase,20f2s,1,s3,0.0010999999999999998,0.0020857142857142862,0.003671428571428573,0.004792857142857142,0.004728571428571429
11,FixBase,20f2s,2,s3,0.00075,0.0012000000000000003,0.0017428571428571428,0.0023499999999999997,0.002614285714285714
12,FixBase,20f2s,3,s3,0.0009142857142857143,0.0012285714285714291,0.0019071428571428573,0.0028214285714285724,0.003192857142857143
13,FixBase,20f2s,4,s3,0.001264285714285714,0.0019714285714285715,0.0025,0.004007142857142857,0.0041714285714285725
14,FixBase,20f2s,5,s3,0.0013785714285714287,0.0028000000000000004,0.004135714285714285,0.005042857142857147,0.005114285714285722
15,FixBase,20f2s,1,s4,0.0011214285714285712,0.001871428571428572,0.002871428571428571,0.0035214285714285725,0.0038142857142857162
16,FixBase,20f2s,2,s4,0.0014642857142857142,0.0025357142857142852,0.003257142857142858,0.0044428571428571425,0.004692857142857142
17,FixBase,20f2s,3,s4,0.0009214285714285714,0.0014214285714285713,0.001971428571428571,0.0028857142857142857,0.003000000000000001
18,FixBase,20f2s,4,s4,0.0013642857142857144,0.0026357142857142855,0.004207142857142859,0.005299999999999999,0.005385714285714291
19,FixBase,20f2s,5,s4,0.00155,0.002492857142857143,0.002885714285714286,0.00502857142857143,0.00543571428571429
20,FixBase,20f2s,1,s5,0.0006571428571428572,0.0011357142857142857,0.0012642857142857143,0.0021857142857142865,0.0022571428571428586
21,FixBase,20f2s,2,s5,0.0009714285714285712,0.0016500000000000004,0.0018071428571428574,0.0027,0.0028714285714285734
22,FixBase,20f2s,3,s5,0.0006857142857142857,0.0012214285714285719,0.0019285714285714292,0.002314285714285717,0.0022928571428571434
23,FixBase,20f2s,4,s5,0.00065,0.0008714285714285714,0.0009928571428571428,0.0017142857142857142,0.001899999999999999
24,FixBase,20f2s,5,s5,0.0009928571428571428,0.0014285714285714284,0.001942857142857143,0.0028428571428571426,0.0030857142857142845
25,FixBase,20f2s,1,s6,0.0007357142857142857,0.0013428571428571433,0.0017714285714285722,0.002392857142857142,0.00265
26,FixBase,20f2s,2,s6,0.0007285714285714286,0.0011714285714285717,0.0017357142857142864,0.0021642857142857154,0.002314285714285715
27,FixBase,20f2s,3,s6,0.0005714285714285714,0.0007071428571428571,0.0010500000000000002,0.001514285714285714,0.0016357142857142863
28,FixBase,20f2s,4,s6,0.0005571428571428572,0.0008,0.0011142857142857144,0.0019142857142857147,0.002028571428571429
29,FixBase,20f2s,5,s6,0.0008428571428571428,0.0011500000000000002,0.0014714285714285714,0.0022785714285714293,0.0025571428571428572
30,FixBase,20f2s,1,s7,0.00075,0.0013000000000000002,0.0020142857142857154,0.002807142857142856,0.002921428571428572
31,FixBase,20f2s,2,s7,0.0005,0.0008999999999999999,0.00135,0.0017357142857142857,0.001735714285714288
32,FixBase,20f2s,3,s7,0.00039999999999999996,0.0006285714285714286,0.0009142857142857147,0.0012357142857142857,0.001342857142857143
33,FixBase,20f2s,4,s7,0.0007642857142857143,0.0012857142857142859,0.0017142857142857138,0.0022428571428571437,0.0023142857142857153
34,FixBase,20f2s,5,s7,0.0006142857142857143,0.0010999999999999998,0.0018714285714285716,0.0020857142857142862,0.0022000000000000014
35,FixBase,20f2s,1,s8,0.0005142857142857143,0.0008857142857142858,0.0014142857142857136,0.0016428571428571434,0.0016285714285714315
36,FixBase,20f2s,2,s8,0.0006142857142857142,0.0009500000000000001,0.0014857142857142862,0.0019071428571428583,0.002107142857142858
37,FixBase,20f2s,3,s8,0.0006214285714285714,0.0011428571428571427,0.0020571428571428568,0.0025999999999999994,0.0027142857142857147
