,Sim_Type,Nsubs,Iteration,Station,MaxShearX
0,FixBase,20f2s,1,s1,34320.16226674904
1,FixBase,20f2s,2,s1,46647.58189485289
2,FixBase,20f2s,3,s1,34769.52530737789
3,FixBase,20f2s,4,s1,32819.20044871155
4,FixBase,20f2s,5,s1,55775.78510201827
5,FixBase,20f2s,1,s2,17032.304880640386
6,FixBase,20f2s,2,s2,14796.11733047308
7,FixBase,20f2s,3,s2,14917.806308760573
8,FixBase,20f2s,4,s2,10821.81332657596
9,FixBase,20f2s,5,s2,22512.103416519232
10,FixBase,20f2s,1,s3,20279.68076934519
11,FixBase,20f2s,2,s3,20321.92214517981
12,FixBase,20f2s,3,s3,17693.983102456732
13,FixBase,20f2s,4,s3,20229.871072378846
14,FixBase,20f2s,5,s3,29949.567410249998
15,FixBase,20f2s,1,s4,23098.718464009613
16,FixBase,20f2s,2,s4,22007.57732967116
17,FixBase,20f2s,3,s4,16937.55054089135
18,FixBase,20f2s,4,s4,25160.008828387497
19,FixBase,20f2s,5,s4,22313.88485439231
20,FixBase,20f2s,1,s5,10573.711134628848
21,FixBase,20f2s,2,s5,8394.043814108654
22,FixBase,20f2s,3,s5,9590.173218787499
23,FixBase,20f2s,4,s5,9025.335045484615
24,FixBase,20f2s,5,s5,15734.552369486535
25,FixBase,20f2s,1,s6,10672.128492204809
26,FixBase,20f2s,2,s6,11279.423437926922
27,FixBase,20f2s,3,s6,9157.234491268271
28,FixBase,20f2s,4,s6,7459.660134900003
29,FixBase,20f2s,5,s6,13242.16613134039
30,FixBase,20f2s,1,s7,6779.092074023078
31,FixBase,20f2s,2,s7,7878.710872583655
32,FixBase,20f2s,3,s7,7168.346114979808
33,FixBase,20f2s,4,s7,8849.857596568268
34,FixBase,20f2s,5,s7,10523.533367180771
35,FixBase,20f2s,1,s8,7759.628203378843
36,FixBase,20f2s,2,s8,7656.2957422384625
37,FixBase,20f2s,3,s8,9960.81313840962
38,FixBase,20f2s,4,s8,7804.245996588465
39,FixBase,20f2s,5,s8,9030.238726950001
40,FixBase,20f2s,1,s9,7303.140420767308
41,FixBase,20f2s,2,s9,6384.359630916347
