,Sim_Type,Nsubs,Iteration,Station,MaxShearY
0,FixBase,20f2s,1,s1,37573.67704367412
1,FixBase,20f2s,2,s1,34000.26412229197
2,FixBase,20f2s,3,s1,49140.7902856768
3,FixBase,20f2s,4,s1,28897.71812487322
4,FixBase,20f2s,5,s1,66618.80999897949
5,FixBase,20f2s,1,s2,15588.833397171431
6,FixBase,20f2s,2,s2,16339.477011766076
7,FixBase,20f2s,3,s2,13545.558126200895
8,FixBase,20f2s,4,s2,10711.853179256252
9,FixBase,20f2s,5,s2,34792.95576236787
10,FixBase,20f2s,1,s3,17617.253770253577
11,FixBase,20f2s,2,s3,17336.70698005447
12,FixBase,20f2s,3,s3,21325.413271982146
13,FixBase,20f2s,4,s3,21467.949045075
14,FixBase,20f2s,5,s3,36245.88974244376
15,FixBase,20f2s,1,s4,22655.70211237232
16,FixBase,20f2s,2,s4,16806.50733595179
17,FixBase,20f2s,3,s4,15838.625149232144
18,FixBase,20f2s,4,s4,23010.310612414287
19,FixBase,20f2s,5,s4,28727.347779024123
20,FixBase,20f2s,1,s5,9571.08881342411
21,FixBase,20f2s,2,s5,9483.10442042143
22,FixBase,20f2s,3,s5,6309.647892578573
23,FixBase,20f2s,4,s5,7791.320312493752
24,FixBase,20f2s,5,s5,12737.036904227676
25,FixBase,20f2s,1,s6,10711.30058961429
26,FixBase,20f2s,2,s6,9381.269999097321
27,FixBase,20f2s,3,s6,7481.23711530268
28,FixBase,20f2s,4,s6,8383.66115678036
29,FixBase,20f2s,5,s6,12572.649958749109
30,FixBase,20f2s,1,s7,9029.396415736604
31,FixBase,20f2s,2,s7,5235.129301941965
32,FixBase,20f2s,3,s7,4781.738693386607
33,FixBase,20f2s,4,s7,7180.568810228572
34,FixBase,20f2s,5,s7,9750.942763609823
35,FixBase,20f2s,1,s8,7769.933839020538
36,FixBase,20f2s,2,s8,8616.69466597768
37,FixBase,20f2s,3,s8,6201.849543589287
38,FixBase,20f2s,4,s8,8026.125128172322
39,FixBase,20f2s,5,s8,13400.189927172323
40,FixBase,20f2s,1,s9,7544.224743195541
41,FixBase,20f2s,2,s9,7941.118783162499
42,FixBase,20f2s,3,s9,6228.558782550001
43,FixBase,20f2s,4,s9,6371.853070700896
44,FixBase,20f2s,5,s9,11639.036892889293
45,FixBase,20f4s,1,s1,48536.42765965444
46,FixBase,20f4s,2,s1,48591.179391238395
47,FixBase,20f4s,3,s1,67964.29481797502
48,FixBase,20f4s,4,s1,38764.266874722336
49,FixBase,20f4s,5,s1,110517.63357450267
50,FixBase,20f4s,1,s2,22303.307280693753
51,FixBase,20f4s,2,s2,22963.394471421427
52,FixBase,20f4s,3,s2,18719.56776286875
53,FixBase,20f4s,4,s2,16807.837426240174
54,FixBase,20f4s,5,s2,46774.91003580803
55,FixBase,20f4s,1,s3,26954.081894504463
56,FixBase,20f4s,2,s3,27334.346879799108
57,FixBase,20f4s,3,s3,30799.281954002687
58,FixBase,20f4s,4,s3,31878.905826388407
59,FixBase,20f4s,5,s3,46316.76153588216
60,FixBase,20f4s,1,s4,32878.86633564643
61,FixBase,20f4s,2,s4,22379.740799225892
62,FixBase,20f4s,3,s4,22179.284124656253
63,FixBase,20f4s,4,s4,35533.61344494643
64,FixBase,20f4s,5,s4,43837.95693247768
65,FixBase,20f4s,1,s5,12951.52808604643
66,FixBase,20f4s,2,s5,11666.632908235715
67,FixBase,20f4s,3,s5,11441.666082091071
68,FixBase,20f4s,4,s5,13757.710808014286
69,FixBase,20f4s,5,s5,18840.673195974112
70,FixBase,20f4s,1,s6,13968.58521866786
71,FixBase,20f4s,2,s6,14796.984200788394
72,FixBase,20f4s,3,s6,10965.666167158928
73,FixBase,20f4s,4,s6,13440.648831385715
74,FixBase,20f4s,5,s6,18145.243315794636
75,FixBase,20f4s,1,s7,13263.692576844645
76,FixBase,20f4s,2,s7,8884.201585408928
77,FixBase,20f4s,3,s7,6464.328766979464
78,FixBase,20f4s,4,s7,9900.604176407145
79,FixBase,20f4s,5,s7,16627.2022283625
80,FixBase,20f4s,1,s8,10114.90326005357
81,FixBase,20f4s,2,s8,11912.45078050446
82,FixBase,20f4s,3,s8,10611.199814925
83,FixBase,20f4s,4,s8,12439.806493395536
84,FixBase,20f4s,5,s8,16438.994340862497
85,FixBase,20f4s,1,s9,10413.578221366073
86,FixBase,20f4s,2,s9,11983.637978255356
87,FixBase,20f4s,3,s9,9705.83815935268
88,FixBase,20f4s,4,s9,8805.167644368752
89,FixBase,20f4s,5,s9,18863.265106208037
90,AbsBound,20f2s,1,s1,59744.427616108944
91,AbsBound,20f2s,2,s1,42099.73734133124
92,AbsBound,20f2s,3,s1,77202.97301008928
93,AbsBound,20f2s,4,s1,39910.663068677684
94,AbsBound,20f2s,5,s1,114142.71763073574
95,AbsBound,20f2s,1,s2,28597.853154712502
96,AbsBound,20f2s,2,s2,28883.568293365173
97,AbsBound,20f2s,3,s2,21686.04263487054
98,AbsBound,20f2s,4,s2,20013.106439949108
99,AbsBound,20f2s,5,s2,49362.47163960268
100,AbsBound,20f2s,1,s3,23713.82188214465
101,AbsBound,20f2s,2,s3,35436.628361619645
102,AbsBound,20f2s,3,s3,30050.44403080179
103,AbsBound,20f2s,4,s3,33343.11699857679
104,AbsBound,20f2s,5,s3,52660.38716385269
105,AbsBound,20f2s,1,s4,40934.041684963406
106,AbsBound,20f2s,2,s4,31558.92532032858
107,AbsBound,20f2s,3,s4,24318.728112953573
108,AbsBound,20f2s,4,s4,47316.293272992865
109,AbsBound,20f2s,5,s4,41327.43427966341
110,AbsBound,20f2s,1,s5,17531.803205180357
111,AbsBound,20f2s,2,s5,15283.738374717861
112,AbsBound,20f2s,3,s5,12635.17442970268
113,AbsBound,20f2s,4,s5,18484.615909133034
114,AbsBound,20f2s,5,s5,28317.594194863388
115,AbsBound,20f2s,1,s6,15757.438975601784
116,AbsBound,20f2s,2,s6,14293.553861651792
117,AbsBound,20f2s,3,s6,13891.256361425892
118,AbsBound,20f2s,4,s6,13795.742894102686
119,AbsBound,20f2s,5,s6,23853.301990441076
120,AbsBound,20f2s,1,s7,19597.76386476428
121,AbsBound,20f2s,2,s7,11699.701042909825
122,AbsBound,20f2s,3,s7,8523.710471659824
123,AbsBound,20f2s,4,s7,10758.818281058038
124,AbsBound,20f2s,5,s7,17455.67689110269
125,AbsBound,20f2s,1,s8,15834.359774563396
126,AbsBound,20f2s,2,s8,16399.495699272327
127,AbsBound,20f2s,3,s8,10630.531902366965
128,AbsBound,20f2s,4,s8,13403.62442439643
129,AbsBound,20f2s,5,s8,20484.294400213395
