,Sim_Type,Nsubs,Iteration,Station,Max_Spectra_X,Max_Spectra_Y,Zone
0,FixBase,20f2s,1,s1,6.190242833111748,4.288796336496677,zone1
1,FixBase,20f2s,2,s1,8.312066630322242,4.83631918710697,zone1
2,FixBase,20f2s,3,s1,4.749847290272597,6.581965066965444,zone1
3,FixBase,20f2s,4,s1,4.3844168738073055,4.5034932273231645,zone1
4,FixBase,20f2s,5,s1,12.07870899981268,8.87304325146847,zone1
5,FixBase,20f2s,1,s2,2.937004718129212,2.4482878385711775,zone1
6,FixBase,20f2s,2,s2,4.569574517701242,2.1573625941976307,zone1
7,FixBase,20f2s,3,s2,3.378787861389581,1.7350417510399314,zone1
8,FixBase,20f2s,4,s2,2.7359528798291004,1.4597333658939706,zone1
9,FixBase,20f2s,5,s2,4.64196551818129,3.030689432080147,zone1
10,FixBase,20f2s,1,s3,3.9041233243564473,2.3258326185523366,zone1
11,FixBase,20f2s,2,s3,3.9194197876917443,2.5145842116879287,zone1
12,FixBase,20f2s,3,s3,4.035673584252763,2.062495019740136,zone1
13,FixBase,20f2s,4,s3,4.26733622284052,2.603200297650489,zone1
14,FixBase,20f2s,5,s3,8.293418555989808,3.495621211181301,zone1
15,FixBase,20f2s,1,s4,5.181487313627975,2.8805830498691947,zone2
16,FixBase,20f2s,2,s4,5.306200294195215,2.4651291641890207,zone2
17,FixBase,20f2s,3,s4,3.3192132194602277,2.289512676195844,zone2
18,FixBase,20f2s,4,s4,5.385020518180441,2.948430142107165,zone2
19,FixBase,20f2s,5,s4,4.21340231056348,3.238093195499558,zone2
20,FixBase,20f2s,1,s5,2.201403894139404,1.3648077960530627,zone2
21,FixBase,20f2s,2,s5,3.4097864462748553,2.135726478983342,zone2
22,FixBase,20f2s,3,s5,2.630974421387589,1.6327130356203734,zone2
23,FixBase,20f2s,4,s5,2.3612041881414063,2.0332294417845573,zone2
24,FixBase,20f2s,5,s5,4.124859681700136,2.345087778250031,zone2
25,FixBase,20f2s,1,s6,2.242870813846158,1.5853811567558411,zone2
26,FixBase,20f2s,2,s6,2.4637461904070013,1.2635070899313154,zone2
27,FixBase,20f2s,3,s6,2.6681520134977066,1.5358347867939406,zone2
28,FixBase,20f2s,4,s6,2.9927793795681774,1.2657280389460566,zone2
29,FixBase,20f2s,5,s6,2.7773036719871294,2.0888114770218067,zone2
30,FixBase,20f2s,1,s7,1.8123748199253045,1.5206619108672834,zone3
31,FixBase,20f2s,2,s7,1.61769131749604,0.9139394916838496,zone3
32,FixBase,20f2s,3,s7,1.2874716040899308,0.9100366702636763,zone3
33,FixBase,20f2s,4,s7,2.434458197592406,1.1035199922904526,zone3
34,FixBase,20f2s,5,s7,2.9918136854538306,1.1975506638887707,zone3
35,FixBase,20f2s,1,s8,2.2659277179490145,1.1956064154894652,zone3
36,FixBase,20f2s,2,s8,1.9376318765361935,1.348117625090172,zone3
37,FixBase,20f2s,3,s8,1.385443245568562,1.2711149627050864,zone3
38,FixBase,20f2s,4,s8,2.451174433383237,1.4610013379953384,zone3
39,FixBase,20f2s,5,s8,3.252659621169266,2.275519178394422,zone3
40,FixBase,20f2s,1,s9,1.7552630009579666,1.676025181394521,zone3
41,FixBase,20f2s,2,s9,1.3550481382072184,1.4712960208916137,zone3
42,FixBase,20f2s,3,s9,1.4309889430752374,0.9314030298237629,zone3
43,FixBase,20f2s,4,s9,1.5497687479533784,1.1576556324224225,zone3
44,FixBase,20f2s,5,s9,2.0619969458844274,1.6345655885436707,zone3
45,FixBase,20f4s,1,s1,5.159166319299114,4.202069196765573,zone1
46,FixBase,20f4s,2,s1,6.817880567668482,5.242600471311492,zone1
47,FixBase,20f4s,3,s1,3.8381172021716954,6.775778720180562,zone1
48,FixBase,20f4s,4,s1,3.7331123965221584,3.718306909289541,zone1
49,FixBase,20f4s,5,s1,9.6915393789243,10.588391342798166,zone1
50,FixBase,20f4s,1,s2,2.3799273447252918,2.3355221742172656,zone1
51,FixBase,20f4s,2,s2,3.7978837721751897,2.188666862043341,zone1
52,FixBase,20f4s,3,s2,2.825414143320667,1.6303738892041102,zone1
53,FixBase,20f4s,4,s2,2.3252763729871133,1.524628360529627,zone1
54,FixBase,20f4s,5,s2,4.125998045459637,3.4858322123718093,zone1
55,FixBase,20f4s,1,s3,3.7196067246330355,2.204848122574505,zone1
56,FixBase,20f4s,2,s3,3.9327180448405317,2.5216927616138496,zone1
57,FixBase,20f4s,3,s3,3.4420205419485113,2.101918282369622,zone1
58,FixBase,20f4s,4,s3,3.7374138865833793,2.7156601585600937,zone1
59,FixBase,20f4s,5,s3,6.92545896977957,4.021609946226102,zone1
60,FixBase,20f4s,1,s4,4.569058246016043,3.486646078079444,zone2
61,FixBase,20f4s,2,s4,4.410685780758613,2.5706215142488937,zone2
62,FixBase,20f4s,3,s4,3.0040671199260722,2.1370766079406307,zone2
63,FixBase,20f4s,4,s4,4.9652965685993715,2.5139368082499725,zone2
64,FixBase,20f4s,5,s4,4.0946759422844545,2.8974415868928127,zone2
65,FixBase,20f4s,1,s5,1.9227086925916441,1.4780063970683275,zone2
66,FixBase,20f4s,2,s5,2.7146996370220124,2.1188959896637325,zone2
67,FixBase,20f4s,3,s5,2.118263158371049,1.7410806115114146,zone2
68,FixBase,20f4s,4,s5,2.119582007462719,1.9472375676895568,zone2
69,FixBase,20f4s,5,s5,3.452432429851281,2.3883701703718363,zone2
70,FixBase,20f4s,1,s6,1.9616402374418715,1.3671343202789283,zone2
