Story,CM x,CM y,Max x,Max y
1,0.0018904019755013764,0.001172727303390914,0.0019118305513134207,0.0011941558759484686
2,0.001904687692709406,0.0013987013510387558,0.0019118305513134207,0.0014295455136768304
3,0.001945982338571117,0.001572402669079646,0.001968973420412837,0.0015746754019778013
4,0.0022031252516678578,0.0017724026886699047,0.002224553828046878,0.0017746754230894592
5,0.0026031253526501196,0.0020071430535661757,0.002624553929961232,0.00202370150724757
6,0.0028261164997617676,0.0022785716824694656,0.0028261164997617676,0.002280844421547814
7,0.00299598261124675,0.00265681857430283,0.0029975451252745393,0.00265681857430283
8,0.003163393410039339,0.003047403094889766,0.0031720987854051037,0.003056818702866816
9,0.0033720988604037977,0.003383117497361622,0.0033720988604037977,0.003399675970392818
10,0.003529241779730818,0.003706818950570594,0.0035435274997983805,0.0037139618106934048
11,0.0036792418417375093,0.004025974898094451,0.003686384701889198,0.004028247662218186
12,0.0038292419063401207,0.004311689312896194,0.0038292419063401207,0.004313962082435475
13,0.0038863847887811095,0.004511689408556511,0.0038863847887811095,0.004513962182107455
14,0.0038935276491215676,0.0046188323187487815,0.003914956230142942,0.004628247955388817
15,0.00394352767159961,0.004728248008239712,0.00394509019590304,0.0047425337301551795
16,0.003909375893667934,0.004761689534276017,0.003916518754095478,0.004771105174078364
17,0.0038649562078301855,0.0047425337301551795,0.0038863847887811095,0.0047425337301551795
18,0.0038863847887811095,0.004747403812623236,0.003911831182294768,0.004768832395102408
19,0.003827679383443662,0.004687988148994908,0.0038292419063401207,0.004713962286324245
20,0.0037149561425906773,0.0045616894331615195,0.0037372774959639993,0.00457110506856267
