Story,CM x,CM y,Max x,Max y
1,0.0031142857142857144,0.0031000000000000003,0.0031428571428571426,0.0031142857142857144
2,0.0033571428571428576,0.003685714285714286,0.003371428571428572,0.0037142857142857147
3,0.003642857142857143,0.004028571428571429,0.0036571428571428575,0.004028571428571429
4,0.004271428571428572,0.004514285714285714,0.004285714285714286,0.004542857142857143
5,0.005214285714285715,0.005085714285714286,0.00522857142857143,0.005085714285714288
6,0.005728571428571428,0.005492857142857143,0.005742857142857144,0.005514285714285714
7,0.006107142857142857,0.0057571428571428565,0.006114285714285715,0.005771428571428574
8,0.006342857142857144,0.005871428571428571,0.006342857142857146,0.0058857142857142875
9,0.006535714285714285,0.005871428571428573,0.006542857142857144,0.0058857142857142875
10,0.00665714285714286,0.005857142857142859,0.0066571428571428615,0.005857142857142863
11,0.006792857142857142,0.0062928571428571434,0.006800000000000004,0.006314285714285717
12,0.0073357142857142866,0.006842857142857142,0.007342857142857143,0.0068571428571428585
13,0.0077428571428571425,0.007478571428571431,0.007742857142857147,0.00748571428571429
14,0.00800714285714286,0.008042857142857136,0.008028571428571432,0.008057142857142858
15,0.008357142857142862,0.008642857142857143,0.008371428571428577,0.008657142857142863
16,0.008464285714285718,0.009100000000000004,0.008485714285714287,0.009114285714285717
17,0.008457142857142858,0.009357142857142856,0.008485714285714287,0.00937142857142857
18,0.008550000000000009,0.00947857142857143,0.008571428571428579,0.009514285714285713
19,0.00839285714285714,0.009457142857142858,0.008400000000000012,0.009514285714285713
20,0.008128571428571423,0.00925,0.008142857142857151,0.00931428571428572
