,Sim_Type,Nsubs,Iteration,Station,Mean_Drift,Zone
0,FixBase,20f2s,1,s1,0.009485714285714287,zone1
1,FixBase,20f4s,1,s1,0.009057142857142859,zone1
2,FixBase,20f2s,2,s1,0.009514285714285713,zone1
3,FixBase,20f4s,2,s1,0.009771428571428573,zone1
4,FixBase,20f2s,3,s1,0.023714285714285736,zone1
5,FixBase,20f4s,3,s1,0.024085714285714297,zone1
6,FixBase,20f2s,4,s1,0.005428571428571429,zone1
7,FixBase,20f4s,4,s1,0.004571428571428575,zone1
8,FixBase,20f2s,5,s1,0.013257142857142856,zone1
9,FixBase,20f4s,5,s1,0.015628571428571422,zone1
10,FixBase,20f2s,1,s2,0.0044571428571428574,zone1
11,FixBase,20f4s,1,s2,0.004114285714285717,zone1
12,FixBase,20f2s,2,s2,0.004457142857142862,zone1
13,FixBase,20f4s,2,s2,0.0043999999999999985,zone1
14,FixBase,20f2s,3,s2,0.004257142857142856,zone1
15,FixBase,20f4s,3,s2,0.004314285714285715,zone1
16,FixBase,20f2s,4,s2,0.002428571428571429,zone1
17,FixBase,20f4s,4,s2,0.0028857142857142853,zone1
18,FixBase,20f2s,5,s2,0.005371428571428567,zone1
19,FixBase,20f4s,5,s2,0.00502857142857143,zone1
20,FixBase,20f2s,1,s3,0.004857142857142861,zone1
21,FixBase,20f4s,1,s3,0.004485714285714292,zone1
22,FixBase,20f2s,2,s3,0.0026857142857142874,zone1
23,FixBase,20f4s,2,s3,0.0028571428571428593,zone1
24,FixBase,20f2s,3,s3,0.0032857142857142885,zone1
25,FixBase,20f4s,3,s3,0.003114285714285716,zone1
26,FixBase,20f2s,4,s3,0.00428571428571429,zone1
27,FixBase,20f4s,4,s3,0.003771428571428576,zone1
28,FixBase,20f2s,5,s3,0.005257142857142858,zone1
29,FixBase,20f4s,5,s3,0.005457142857142859,zone1
30,FixBase,20f2s,1,s4,0.003942857142857145,zone2
31,FixBase,20f4s,1,s4,0.004400000000000006,zone2
32,FixBase,20f2s,2,s4,0.004828571428571436,zone2
33,FixBase,20f4s,2,s4,0.0038285714285714355,zone2
34,FixBase,20f2s,3,s4,0.0031428571428571417,zone2
35,FixBase,20f4s,3,s4,0.003428571428571432,zone2
36,FixBase,20f2s,4,s4,0.005514285714285718,zone2
37,FixBase,20f4s,4,s4,0.005628571428571435,zone2
38,FixBase,20f2s,5,s4,0.005600000000000002,zone2
39,FixBase,20f4s,5,s4,0.00502857142857143,zone2
40,FixBase,20f2s,1,s5,0.0023428571428571465,zone2
41,FixBase,20f4s,1,s5,0.0021428571428571447,zone2
42,FixBase,20f2s,2,s5,0.0029714285714285693,zone2
43,FixBase,20f4s,2,s5,0.0025142857142857146,zone2
44,FixBase,20f2s,3,s5,0.002371428571428572,zone2
45,FixBase,20f4s,3,s5,0.0025714285714285735,zone2
46,FixBase,20f2s,4,s5,0.001942857142857143,zone2
47,FixBase,20f4s,4,s5,0.0020285714285714312,zone2
48,FixBase,20f2s,5,s5,0.0032857142857142885,zone2
49,FixBase,20f4s,5,s5,0.003828571428571431,zone2
50,FixBase,20f2s,1,s6,0.002742857142857142,zone2
51,FixBase,20f4s,1,s6,0.002800000000000001,zone2
52,FixBase,20f2s,2,s6,0.002371428571428572,zone2
53,FixBase,20f4s,2,s6,0.0025714285714285735,zone2
54,FixBase,20f2s,3,s6,0.0017428571428571432,zone2
55,FixBase,20f4s,3,s6,0.001571428571428572,zone2
56,FixBase,20f2s,4,s6,0.0020857142857142862,zone2
57,FixBase,20f4s,4,s6,0.001942857142857143,zone2
58,FixBase,20f2s,5,s6,0.0026857142857142874,zone2
59,FixBase,20f4s,5,s6,0.002800000000000001,zone2
60,FixBase,20f2s,1,s7,0.0030000000000000027,zone3
61,FixBase,20f4s,1,s7,0.0035714285714285744,zone3
62,FixBase,20f2s,2,s7,0.0018000000000000021,zone3
63,FixBase,20f4s,2,s7,0.0016285714285714278,zone3
64,FixBase,20f2s,3,s7,0.0014000000000000004,zone3
65,FixBase,20f4s,3,s7,0.0013428571428571437,zone3
66,FixBase,20f2s,4,s7,0.002400000000000001,zone3
67,FixBase,20f4s,4,s7,0.0018285714285714294,zone3
68,FixBase,20f2s,5,s7,0.002257142857142858,zone3
69,FixBase,20f4s,5,s7,0.0027142857142857164,zone3
70,FixBase,20f2s,1,s8,0.001657142857142861,zone3
71,FixBase,20f4s,1,s8,0.0020857142857142862,zone3
72,FixBase,20f2s,2,s8,0.0022000000000000014,zone3
73,FixBase,20f4s,2,s8,0.001942857142857145,zone3
74,FixBase,20f2s,3,s8,0.0027714285714285714,zone3
75,FixBase,20f4s,3,s8,0.0026857142857142874,zone3
76,FixBase,20f2s,4,s8,0.0025714285714285735,zone3
77,FixBase,20f4s,4,s8,0.003085714285714283,zone3
78,FixBase,20f2s,5,s8,0.002971428571428573,zone3
79,FixBase,20f4s,5,s8,0.0028571428571428593,zone3
80,FixBase,20f2s,1,s9,0.0025142857142857146,zone3
81,FixBase,20f4s,1,s9,0.0021999999999999997,zone3
82,FixBase,20f2s,2,s9,0.0014571428571428572,zone3
83,FixBase,20f4s,2,s9,0.0017714285714285727,zone3
84,FixBase,20f2s,3,s9,0.0012857142857142859,zone3
85,FixBase,20f4s,3,s9,0.0016285714285714297,zone3
86,FixBase,20f2s,4,s9,0.001942857142857143,zone3
87,FixBase,20f4s,4,s9,0.002171428571428574,zone3
88,FixBase,20f2s,5,s9,0.0020285714285714312,zone3
89,FixBase,20f4s,5,s9,0.0018857142857142883,zone3
90,AbsBound,20f2s,1,s1,0.004362013885191136,zone1
91,AbsBound,20f4s,1,s1,0.008786042278055455,zone1
92,AbsBound,20f2s,2,s1,0.004376948699963899,zone1
93,AbsBound,20f4s,2,s1,0.00895292516144895,zone1
94,AbsBound,20f2s,3,s1,0.010907808229521117,zone1
95,AbsBound,20f4s,3,s1,0.02284844621469934,zone1
96,AbsBound,20f2s,4,s1,0.0024970779926123533,zone1
97,AbsBound,20f4s,4,s1,0.004506169244624555,zone1
98,AbsBound,20f2s,5,s1,0.006215587192418278,zone1
99,AbsBound,20f4s,5,s1,0.013833783517012775,zone1
100,AbsBound,20f2s,1,s2,0.002103896183679842,zone1
101,AbsBound,20f4s,1,s2,0.00411071470559452,zone1
102,AbsBound,20f2s,2,s2,0.002196428690662999,zone1
103,AbsBound,20f4s,2,s2,0.004167857574527977,zone1
104,AbsBound,20f2s,3,s2,0.002022727364669353,zone1
105,AbsBound,20f4s,3,s2,0.004029545930764432,zone1
106,AbsBound,20f2s,4,s2,0.0011256493649025499,zone1
107,AbsBound,20f4s,4,s2,0.0024204546642769644,zone1
108,AbsBound,20f2s,5,s2,0.0025678573060993895,zone1
109,AbsBound,20f4s,5,s2,0.004550650097665154,zone1
110,AbsBound,20f2s,1,s3,0.002400974194198233,zone1
111,AbsBound,20f4s,1,s3,0.004258117415105249,zone1
112,AbsBound,20f2s,2,s3,0.0012993506721316545,zone1
113,AbsBound,20f4s,2,s3,0.00241590918315307,zone1
114,AbsBound,20f2s,3,s3,0.0014948052149948382,zone1
115,AbsBound,20f4s,3,s3,0.002925649447537549,zone1
116,AbsBound,20f2s,4,s3,0.002015909155051611,zone1
117,AbsBound,20f4s,4,s3,0.0036775976777009872,zone1
118,AbsBound,20f2s,5,s3,0.002370130021571878,zone1
119,AbsBound,20f4s,5,s3,0.0049461046694950096,zone1
120,AbsBound,20f2s,1,s4,0.0018376623682103228,zone2
121,AbsBound,20f4s,1,s4,0.0036775976777009872,zone2
122,AbsBound,20f2s,2,s4,0.0023370131099341037,zone2
123,AbsBound,20f4s,2,s4,0.004112987471291515,zone2
124,AbsBound,20f2s,3,s4,0.0014685065178225503,zone2
125,AbsBound,20f4s,3,s4,0.0031564936417720077,zone2
126,AbsBound,20f2s,4,s4,0.0026295456565424992,zone2
127,AbsBound,20f4s,4,s4,0.005460390553548195,zone2
128,AbsBound,20f2s,5,s4,0.0026444806300681923,zone2
129,AbsBound,20f4s,5,s4,0.004739286272844335,zone2
