,Sim_Type,Nsubs,Iteration,Station,BShear_X,BShear_Y,Zone
0,FixBase,20f2s,1,s1,40.96092886778239,45.381331006717545,zone1
1,FixBase,20f2s,2,s1,344.7493304234287,248.64063081581259,zone1
2,FixBase,20f2s,3,s1,157.5498429660937,94.43136485314118,zone1
3,FixBase,20f2s,4,s1,136.29238477840127,84.25559903027623,zone1
4,FixBase,20f2s,5,s1,182.44629433009138,70.96182167672984,zone1
5,FixBase,20f2s,1,s2,19.816264974813734,80.26274088349876,zone1
6,FixBase,20f2s,2,s2,75.65748439854377,75.39074291989125,zone1
7,FixBase,20f2s,3,s2,31.24825979364001,1.6165761931462048,zone1
8,FixBase,20f2s,4,s2,45.71153642355749,44.69203913405631,zone1
9,FixBase,20f2s,5,s2,34.806393156116286,44.68878474762373,zone1
10,FixBase,20f2s,1,s3,74.50215580663875,14.71456663310247,zone1
11,FixBase,20f2s,2,s3,146.45846365186497,14.879971726953746,zone1
12,FixBase,20f2s,3,s3,33.53807595331124,107.5442765632425,zone1
13,FixBase,20f2s,4,s3,89.42149014361883,94.61552195619004,zone1
14,FixBase,20f2s,5,s3,85.20256756835992,10.051307891988749,zone1
15,FixBase,20f2s,1,s4,143.14599452506508,47.645611096072564,zone2
16,FixBase,20f2s,2,s4,12.783392395064933,83.13179030155125,zone2
17,FixBase,20f2s,3,s4,14.749554422688773,54.391884312532525,zone2
18,FixBase,20f2s,4,s4,93.84646472671507,83.56855415630622,zone2
19,FixBase,20f2s,5,s4,2.541233938927473,38.718493793482544,zone2
20,FixBase,20f2s,1,s5,17.075845585631228,41.456876175416234,zone2
21,FixBase,20f2s,2,s5,12.932327006752534,18.282193650292452,zone2
22,FixBase,20f2s,3,s5,33.92202875006246,31.834123472025,zone2
23,FixBase,20f2s,4,s5,22.454009096557506,20.273040471104984,zone2
24,FixBase,20f2s,5,s5,1.6784264783362306,5.056122977122493,zone2
25,FixBase,20f2s,1,s6,4.612109257845001,28.41456131785127,zone2
26,FixBase,20f2s,2,s6,15.652034567279996,31.350103588417486,zone2
27,FixBase,20f2s,3,s6,37.735530503546215,26.734318045222498,zone2
28,FixBase,20f2s,4,s6,16.333337930940033,38.49753245112,zone2
29,FixBase,20f2s,5,s6,30.45022819305754,0.9616377969450014,zone2
30,FixBase,20f2s,1,s7,0.7191991378125021,0.5339835324787746,zone3
31,FixBase,20f2s,2,s7,5.758303352782518,0.08532396553503349,zone3
32,FixBase,20f2s,3,s7,5.562752600486263,8.811636941295006,zone3
33,FixBase,20f2s,4,s7,1.856597564542506,11.925845034468729,zone3
34,FixBase,20f2s,5,s7,18.1226667983737,19.69299990111375,zone3
35,FixBase,20f2s,1,s8,9.369432219116256,16.176229202711262,zone3
36,FixBase,20f2s,2,s8,32.14475986827372,13.08438725299873,zone3
37,FixBase,20f2s,3,s8,13.25026497110629,2.2395179123775235,zone3
38,FixBase,20f2s,4,s8,10.922704473251258,33.178193130003756,zone3
39,FixBase,20f2s,5,s8,26.833357874655025,13.61735612839122,zone3
40,FixBase,20f2s,1,s9,14.459335435811226,10.40190459229126,zone3
41,FixBase,20f2s,2,s9,20.603390956087505,46.757955832008754,zone3
42,FixBase,20f2s,3,s9,6.540126058462487,21.504551971241234,zone3
43,FixBase,20f2s,4,s9,6.123984673196275,10.349769013166258,zone3
44,FixBase,20f2s,5,s9,2.1483677830499945,9.67427224981872,zone3
45,FixBase,20f4s,1,s1,50.43253798351518,53.32243814464126,zone1
46,FixBase,20f4s,2,s1,448.7330572306687,312.0114654222299,zone1
47,FixBase,20f4s,3,s1,185.64202828421625,132.15639620249252,zone1
48,FixBase,20f4s,4,s1,180.07832122964993,90.47380099569374,zone1
49,FixBase,20f4s,5,s1,217.87509974026872,98.81372627033222,zone1
50,FixBase,20f4s,1,s2,15.226697306572525,95.62537503165376,zone1
51,FixBase,20f4s,2,s2,110.5656385585424,78.0755505630038,zone1
52,FixBase,20f4s,3,s2,39.97595251775254,0.9587607482250241,zone1
53,FixBase,20f4s,4,s2,67.2416922443062,56.99106092383493,zone1
54,FixBase,20f4s,5,s2,34.222382975512474,42.19434550498886,zone1
55,FixBase,20f4s,1,s3,84.16798866895125,6.532656020887491,zone1
56,FixBase,20f4s,2,s3,193.6692266625937,29.897921416181248,zone1
57,FixBase,20f4s,3,s3,50.12534865247509,143.62107711202867,zone1
58,FixBase,20f4s,4,s3,125.62121165241368,119.93255858914507,zone1
59,FixBase,20f4s,5,s3,98.19746767804868,13.975330641018685,zone1
60,FixBase,20f4s,1,s4,187.7257166777813,76.96006337379369,zone2
