,Sim_Type,Nsubs,Station,s1,s5,s10,s15,s20
0,AbsBound,20f2s,s1,3.5823725877933894,2.847639239999274,2.505029823484771,3.390615243230003,3.448245816975736
1,AbsBound,20f2s,s2,1.1792169856758956,1.18809117720556,1.1922794503787106,1.0630441194612583,1.4052907257928724
2,AbsBound,20f2s,s3,2.5808055640536463,2.774472611657891,2.4309574363139985,2.4234282146384962,2.9741176932759323
3,AbsBound,20f2s,s4,1.9304158035735899,2.1783865306761694,1.9529171858155596,1.9142246941059706,2.5522524253632723
4,AbsBound,20f2s,s5,1.3580697066690317,1.3447682064430757,1.0168088202480328,1.3257243257530689,1.3370782302775166
5,AbsBound,20f2s,s6,1.2540155054517688,1.1010104386204547,1.0911087576106913,1.0181281964138624,1.3228179663463822
6,AbsBound,20f2s,s7,0.8683495665872604,0.7300246617742656,0.7107352175610211,0.7772953296443037,0.7498244966083576
7,AbsBound,20f2s,s8,1.1297904900825382,0.8355283289063786,0.7216091513528763,0.7511544573402653,1.1155372920906053
8,AbsBound,20f2s,s9,0.9975345329807525,1.0717971513406295,1.0834854165549985,1.0021579500956752,1.1367780368079348
9,AbsBound,20f4s,s1,4.4749460016170675,2.8653438758736947,2.790207444103866,3.869160405293081,4.682142467648555
10,AbsBound,20f4s,s2,1.7373190760767954,1.4470902863122057,1.3935743937070684,1.0986537897176594,1.8996079597082285
11,AbsBound,20f4s,s3,2.396585294641348,3.3314736289148215,2.575721766439954,2.265051807808444,3.4631896606514916
12,AbsBound,20f4s,s4,1.9470906009503985,2.5882422602740887,2.2392609174904434,1.7863016074495117,3.126526930270191
13,AbsBound,20f4s,s5,1.5734285156230225,1.4292233391394817,1.1354022165006514,1.5252892993965603,1.4747886010480218
14,AbsBound,20f4s,s6,1.415218265831205,1.1629723792313007,1.1662018477004887,1.02029240544747,1.5853416803253562
15,AbsBound,20f4s,s7,1.1158369853528334,0.8187818914443479,0.8773660623691502,0.8258577859900139,0.9800911822407791
16,AbsBound,20f4s,s8,1.3175632811504367,0.9327537881347556,0.9702284423789079,0.8699179827184972,1.4973758528835868
17,AbsBound,20f4s,s9,1.1817575919600176,1.1192111302076087,1.2951377306640048,0.9926616040729007,1.2701433823259394
18,DRM,20f2s,s1,4.987688354726092,2.9057021496061006,2.9939896983787566,3.4602169723762417,4.701794893030889
19,DRM,20f2s,s2,1.4537938460310218,1.4217463075133319,1.3564101622025828,0.982774275622116,2.4633914782844455
20,DRM,20f2s,s3,2.619025833477308,2.9979817556192807,2.803760104570927,1.972580232093272,4.046854189315683
21,DRM,20f2s,s4,2.2933513982633302,2.301511159487002,2.250027115677917,1.6525466615932909,3.728380218911686
22,DRM,20f2s,s5,2.1916332482971637,1.1838067292643082,0.9966049458750419,1.2987611580391207,1.8429896153224643
23,DRM,20f2s,s6,1.2781150932277092,1.3216567173877682,1.1043099328788675,1.0711589282048952,1.7896377171317688
24,DRM,20f2s,s7,1.1022531104714943,0.7366826135601559,0.8380184850414258,0.8139924519228726,1.3066663114061312
25,DRM,20f2s,s8,1.3109070724407001,0.9376747220793785,0.7834082132278637,0.8128083953388774,1.4550917365616267
26,DRM,20f2s,s9,0.8396683344412507,1.2858283457391606,1.308488588475774,0.5977065074085444,1.9394843806623279
27,DRM,20f4s,s1,5.8460122183762016,3.0359794266580296,2.739030942807318,3.5662242936338893,4.9946374304950165
28,DRM,20f4s,s2,1.827775904035203,1.4716550500376597,1.3995913912094422,0.982146301505147,2.5802564596472104
29,DRM,20f4s,s3,3.1042227772153237,2.9540472575568453,2.858430172803768,1.9480285859094277,4.1114091827274235
30,DRM,20f4s,s4,2.9259989178735344,2.2116562628807275,2.1655960738609727,1.6249324433625225,3.704095605462136
